ts,open,high,low,close,volume
1785492900000,63734.22,63827.58,63700.56,63824.88,126.19256
1785493800000,63824.88,63906.99,63824.87,63903.01,126.75745
1785494700000,63903.01,63951.77,63876.0,63918.67,70.87857
1785495600000,63918.68,64011.99,63905.75,63905.76,82.87111
1785496500000,63905.75,63975.86,63862.0,63902.0,80.61858
1785497400000,63902.01,63902.01,63844.44,63844.61,61.8548
1785498300000,63844.61,63856.0,63792.01,63805.51,61.80155
1785499200000,63805.5,63830.62,63706.0,63727.66,105.03737
1785500100000,63727.66,63774.0,63704.0,63746.63,119.3275
1785501000000,63746.63,63746.63,63627.66,63667.52,219.25849
1785501900000,63667.51,63763.06,63660.0,63754.01,72.63492
1785502800000,63754.01,63784.0,63720.0,63765.99,110.24632
1785503700000,63766.0,63849.19,63759.74,63825.52,303.91732
1785504600000,63825.52,63825.52,63465.57,63465.57,626.41027
1785505500000,63465.57,63529.99,63241.71,63270.73,470.96143
1785506400000,63270.72,63310.0,62466.0,62697.02,1608.05582
1785507300000,62697.02,62748.0,62520.0,62642.15,980.23353
1785508200000,62642.23,62818.0,62600.0,62684.0,521.90901
1785509100000,62684.0,62809.91,62592.32,62682.06,518.20593
1785510000000,62682.05,62706.0,62555.0,62616.01,265.87917
1785510900000,62616.01,62721.93,62490.24,62584.0,312.46923
1785511800000,62583.99,62769.36,62568.0,62761.41,226.09997
1785512700000,62761.41,62761.41,62633.32,62716.57,161.5072
1785513600000,62716.57,62905.79,62709.01,62864.07,288.66321
1785514500000,62864.07,62931.79,62793.27,62921.52,311.56574
1785515400000,62921.51,62921.52,62808.0,62847.54,141.24985
1785516300000,62847.54,62885.01,62815.42,62870.88,115.76923
1785517200000,62870.87,62924.0,62800.0,62902.0,181.28667
1785518100000,62901.99,63006.84,62871.63,62976.74,181.04233
1785519000000,62976.73,63100.0,62956.95,63059.69,173.61216
1785519900000,63059.69,63301.68,63059.68,63245.44,320.78822
1785520800000,63245.44,63302.0,63135.31,63147.9,220.86973
1785521700000,63147.9,63182.0,63056.0,63061.57,225.43697
1785522600000,63061.56,63094.7,62966.0,63037.75,178.41539
1785523500000,63037.75,63176.46,63033.94,63097.57,128.73455
1785524400000,63097.57,63158.0,63029.37,63068.93,60.90224
1785525300000,63068.93,63072.0,63017.99,63022.02,43.03145
1785526200000,63022.02,63027.6,62936.29,63000.44,79.18753
1785527100000,63000.45,63052.0,62954.03,62972.0,121.76794
1785528000000,62972.0,63005.47,62944.84,62999.34,66.7393
1785528900000,62999.33,63034.0,62982.0,63005.52,55.1624
1785529800000,63005.52,63013.99,62955.0,62990.59,102.50625
1785530700000,62990.58,63003.87,62928.35,62953.7,94.01232
1785531600000,62953.7,63013.23,62846.0,63010.83,60.38708
1785532500000,63010.83,63038.0,63000.0,63009.99,84.53869
1785533400000,63010.0,63038.46,62995.08,63038.46,94.66788
1785534300000,63038.45,63062.47,62923.84,62947.78,95.1662
1785535200000,62947.77,63020.0,62870.01,63002.47,75.7994
1785536100000,63002.47,63020.0,62988.29,62988.29,133.54064
1785537000000,62988.28,63006.14,62922.17,62943.64,102.78499
1785537900000,62943.64,62963.22,62915.0,62950.0,128.86991
1785538800000,62950.01,63004.0,62950.0,62975.77,73.02156
1785539700000,62975.78,63013.52,62975.77,62983.86,23.36606
1785540600000,62983.86,62996.73,62950.0,62950.01,33.58295
1785541500000,62950.0,62950.01,62860.64,62887.88,56.52402
1785542400000,62887.88,62970.0,62887.87,62942.0,182.20936
1785543300000,62942.0,62998.0,62935.0,62958.0,171.41681
1785544200000,62958.0,62996.0,62936.03,62995.99,119.33373
1785545100000,62996.0,63024.04,62938.0,62938.01,44.30907
1785546000000,62938.01,62967.34,62938.0,62967.34,69.12506
1785546900000,62967.34,62990.0,62923.47,62954.27,173.96706
1785547800000,62954.27,62981.35,62930.0,62975.52,73.12879
1785548700000,62975.51,62983.2,62950.68,62975.01,70.49894
1785549600000,62975.0,63028.0,62975.0,63018.0,33.58196
1785550500000,63018.01,63087.82,63018.0,63070.01,46.90805
1785551400000,63070.01,63098.8,63070.0,63085.01,107.79432
1785552300000,63085.0,63106.55,63056.15,63075.07,160.38649
1785553200000,63075.08,63075.08,62987.35,62987.36,50.01728
1785554100000,62987.36,63050.0,62970.65,63018.77,45.00068
1785555000000,63018.77,63030.95,62976.0,62997.75,190.52824
1785555900000,62997.75,63018.64,62982.0,63004.48,103.40962
1785556800000,63004.47,63014.0,62993.2,63013.99,49.64273
1785557700000,63014.0,63050.1,63013.99,63050.1,33.80606
1785558600000,63050.1,63069.45,63046.0,63069.45,35.05172
1785559500000,63069.45,63115.37,63069.44,63115.01,105.4289
1785560400000,63115.0,63142.85,63059.21,63122.9,134.69423
1785561300000,63122.91,63122.91,63074.41,63105.0,92.79342
1785562200000,63105.0,63105.01,63014.76,63016.58,116.75046
1785563100000,63016.58,63038.0,63000.85,63020.0,114.0386
1785564000000,63020.0,63040.1,62992.82,63027.88,171.47143
1785564900000,63027.87,63075.1,63007.8,63060.0,48.22198
1785565800000,63059.99,63076.93,63059.99,63062.0,107.93033
1785566700000,63061.99,63086.65,63057.44,63080.64,107.25103
1785567600000,63080.65,63110.89,63080.64,63110.88,29.9517
1785568500000,63110.88,63110.89,63069.74,63069.75,33.27632
1785569400000,63069.74,63069.75,63034.0,63046.0,55.71305
1785570300000,63046.0,63056.77,63046.0,63050.46,31.75066
1785571200000,63050.45,63100.01,63050.45,63100.01,30.67437
1785572100000,63100.01,63102.51,63092.0,63092.01,19.93275
1785573000000,63092.01,63109.04,63092.0,63102.51,21.91553
1785573900000,63102.51,63150.0,63091.33,63126.25,33.50552
1785574800000,63126.25,63139.54,63110.0,63112.08,59.74674
1785575700000,63112.08,63125.48,63100.0,63112.94,66.80092
1785576600000,63112.93,63112.94,63100.0,63107.91,41.64028
1785577500000,63107.91,63107.91,63046.33,63053.17,60.26358
1785578400000,63053.17,63111.09,62986.31,63006.44,81.0008
1785579300000,63006.45,63066.22,62990.25,63046.8,33.91335
1785580200000,63046.8,63076.0,63022.58,63058.56,156.95472
1785581100000,63058.56,63063.68,63038.24,63056.0,49.17462
1785582000000,63055.99,63061.59,63038.11,63061.59,30.4592
1785582900000,63061.58,63082.0,63037.72,63081.91,68.11591
1785583800000,63081.91,63091.97,63070.52,63070.52,55.51877
1785584700000,63070.52,63076.01,63070.52,63076.0,24.99206
1785585600000,63076.0,63119.4,63076.0,63099.83,74.85659
1785586500000,63099.84,63105.99,63092.87,63092.87,53.66513
1785587400000,63092.88,63103.37,63081.81,63100.04,128.48021
1785588300000,63100.03,63106.96,63100.03,63103.68,63.18439
1785589200000,63103.68,63106.83,63096.81,63102.59,43.90302
1785590100000,63102.59,63102.59,63083.62,63083.62,56.61335
1785591000000,63083.62,63094.0,63080.0,63080.01,33.8357
1785591900000,63080.0,63080.01,63051.0,63069.32,53.11671
1785592800000,63069.31,63127.07,63069.31,63079.83,94.96288
1785593700000,63079.83,63120.53,63072.41,63114.36,52.6494
1785594600000,63114.35,63120.01,63087.33,63110.01,85.68172
1785595500000,63110.0,63126.53,63073.08,63126.52,152.49935
1785596400000,63126.53,63126.53,63110.0,63110.0,55.65858
1785597300000,63110.0,63110.01,63059.99,63060.0,29.38835
1785598200000,63060.0,63061.99,63051.0,63051.07,41.49905
1785599100000,63051.07,63051.07,63007.05,63007.06,37.87935
1785600000000,63007.06,63007.06,62928.0,62948.27,97.32085
1785600900000,62948.27,62964.0,62926.76,62948.67,57.4869
1785601800000,62948.67,63027.65,62947.99,62969.25,112.11283
1785602700000,62969.24,62969.25,62874.0,62932.32,60.95124
1785603600000,62932.32,62996.0,62870.0,62897.99,86.32257
1785604500000,62897.99,62898.0,62800.0,62833.95,75.07065
1785605400000,62833.95,62844.78,62740.0,62818.02,91.69905
1785606300000,62818.02,62818.03,62666.0,62708.07,106.0829
1785607200000,62708.06,62734.0,62618.75,62706.84,169.72237
1785608100000,62706.85,62706.85,62510.0,62564.78,183.87011
1785609000000,62564.78,62564.78,62275.0,62370.01,414.86265
1785609900000,62370.01,62586.0,62280.16,62580.56,162.97384
1785610800000,62580.55,62624.0,62526.33,62550.0,99.33353
1785611700000,62550.0,62611.06,62491.11,62548.45,123.19365
1785612600000,62548.45,62589.99,62461.17,62471.99,47.92329
1785613500000,62472.0,62543.86,62471.99,62529.82,42.07579
1785614400000,62529.81,62571.7,62482.99,62558.0,38.80349
1785615300000,62558.0,62640.0,62558.0,62618.0,52.53567
1785616200000,62617.99,62624.0,62562.0,62596.0,35.20714
1785617100000,62595.99,62674.98,62588.1,62662.13,56.92336
1785618000000,62662.14,62800.0,62662.13,62743.16,103.38051
1785618900000,62743.17,62796.86,62743.16,62793.21,32.86012
1785619800000,62793.21,62864.0,62769.02,62800.45,53.65072
1785620700000,62800.44,62827.08,62781.77,62812.75,39.49251
1785621600000,62812.76,62863.26,62794.17,62849.18,43.27042
1785622500000,62849.18,62866.62,62826.08,62854.79,31.51373
1785623400000,62854.8,62854.8,62824.57,62848.01,25.49231
1785624300000,62848.01,62852.0,62831.28,62831.28,29.27271
1785625200000,62831.29,62854.0,62807.69,62807.69,24.66705
1785626100000,62807.7,62807.7,62769.97,62771.35,41.99995
1785627000000,62771.35,62862.8,62771.34,62835.15,196.55736
1785627900000,62835.14,62840.82,62815.94,62823.64,24.58879
1785628800000,62823.65,62979.99,62823.64,62929.75,121.75471
1785629700000,62929.75,62940.0,62882.01,62883.7,60.54186
1785630600000,62883.69,62914.71,62846.96,62846.97,150.33788
1785631500000,62846.97,62861.42,62806.58,62833.99,64.63979
1785632400000,62834.0,63021.96,62834.0,63012.17,73.76266
1785633300000,63012.18,63088.0,62975.3,62984.0,80.09109
1785634200000,62984.0,63020.87,62975.3,63015.99,30.57099
1785635100000,63016.0,63016.0,62981.86,62981.87,31.3522
1785636000000,62981.87,63547.7,62958.54,63459.99,434.92474
1785636900000,63460.0,63547.7,63393.57,63405.47,304.37265
1785637800000,63405.47,63460.22,63333.99,63385.12,227.60772
1785638700000,63385.12,63484.0,63348.0,63451.58,101.51395
1785639600000,63451.58,63461.09,63386.87,63415.48,130.84429
1785640500000,63415.48,63550.0,63380.0,63436.88,122.20468
1785641400000,63436.88,63498.0,63436.88,63497.99,63.65554
1785642300000,63497.99,63515.56,63435.38,63461.95,71.85011
1785643200000,63461.95,63555.0,63461.95,63543.17,88.78303
1785644100000,63543.16,63558.34,63515.86,63546.0,38.07443
1785645000000,63546.01,63556.03,63523.34,63526.6,92.73492
1785645900000,63526.6,63612.0,63526.59,63590.0,82.77879
1785646800000,63590.0,63634.0,63464.07,63482.74,82.59301
1785647700000,63482.74,63496.0,63456.96,63494.83,52.58672
1785648600000,63494.83,63494.83,63415.26,63423.76,95.17288
1785649500000,63423.77,63454.81,63423.76,63453.27,30.96301
1785650400000,63453.27,63484.62,63449.34,63449.35,41.28177
1785651300000,63449.34,63498.0,63435.99,63497.99,31.62524
1785652200000,63497.99,63498.15,63465.04,63498.15,37.47394
1785653100000,63498.15,63498.15,63482.48,63482.49,50.0179
1785654000000,63482.49,63492.37,63480.0,63488.36,29.36486
1785654900000,63488.36,63493.97,63482.93,63493.83,113.71427
1785655800000,63493.83,63544.51,63491.74,63538.12,141.00585
1785656700000,63538.11,63538.12,63483.76,63506.24,128.0276
1785657600000,63506.23,63530.0,63488.76,63494.93,128.71806
1785658500000,63494.93,63495.13,63386.72,63390.95,222.13983
1785659400000,63390.96,63390.96,63210.69,63228.06,126.57619
1785660300000,63228.06,63236.0,63172.0,63193.99,65.36378
1785661200000,63194.0,63282.0,63094.0,63262.18,110.70747
1785662100000,63262.18,63308.79,63235.0,63236.0,54.86698
1785663000000,63236.0,63320.0,63234.0,63267.01,40.80829
1785663900000,63267.0,63277.0,63255.17,63273.94,70.72867
1785664800000,63273.94,63273.94,63208.01,63208.99,69.72102
1785665700000,63208.98,63270.0,63125.06,63140.0,72.60259
1785666600000,63140.0,63213.99,63140.0,63202.02,33.40637
1785667500000,63202.02,63205.89,63197.0,63205.03,24.54512
1785668400000,63205.03,63205.03,63134.07,63164.7,59.80997
1785669300000,63164.7,63206.0,63122.0,63160.01,106.74008
1785670200000,63160.0,63184.0,63100.0,63116.0,60.6133
1785671100000,63116.0,63170.0,62982.38,63031.99,145.89814
1785672000000,63031.99,63180.0,63031.99,63177.9,54.31846
1785672900000,63177.9,63231.67,63152.0,63186.0,57.94792
1785673800000,63186.01,63212.0,63107.7,63146.0,74.4037
1785674700000,63145.99,63159.41,63116.0,63125.49,61.32855
1785675600000,63125.49,63146.89,63095.0,63114.02,67.40748
1785676500000,63114.02,63115.38,63058.0,63081.91,91.55059
1785677400000,63081.91,63107.0,63010.0,63093.05,59.3454
1785678300000,63093.05,63135.11,63093.05,63126.92,43.82478
1785679200000,63126.92,63126.93,63062.0,63089.08,53.18162
1785680100000,63089.07,63155.0,63089.07,63128.98,68.39222
1785681000000,63128.97,63186.0,63096.42,63156.54,149.27731
1785681900000,63156.54,63156.54,63066.31,63069.37,43.37797
1785682800000,63069.37,63124.0,63050.0,63124.0,52.60032
1785683700000,63124.0,63136.99,63102.03,63126.0,67.76274
1785684600000,63125.99,63186.0,63125.99,63149.99,36.14955
1785685500000,63149.99,63150.0,63109.13,63109.14,34.54071
1785686400000,63109.13,63135.96,63064.01,63104.0,56.85013
1785687300000,63104.0,63132.0,63078.0,63110.0,42.49179
1785688200000,63110.0,63273.49,63103.76,63222.01,116.74365
1785689100000,63222.01,63232.0,63180.36,63180.36,51.87804
1785690000000,63180.36,63219.86,63152.0,63210.0,65.60527
1785690900000,63210.0,63342.0,63192.37,63282.53,74.52925
1785691800000,63282.53,63326.0,63282.53,63326.0,100.81966
1785692700000,63325.99,63332.71,63300.28,63300.28,77.43759
1785693600000,63300.0,63328.9,63292.12,63312.66,69.4224
1785694500000,63312.66,63327.67,63290.0,63290.0,58.80797
1785695400000,63290.0,63610.01,63290.0,63502.01,260.5737
1785696300000,63502.01,63512.0,63370.01,63382.01,130.01138
1785697200000,63382.01,63389.64,63346.62,63358.07,80.88915
1785698100000,63358.08,63373.04,63333.33,63333.34,40.24154
1785699000000,63333.34,63394.0,63323.89,63393.99,36.58991
1785699900000,63394.0,63479.85,63393.99,63456.01,89.63779
1785700800000,63456.0,63470.26,63422.0,63462.0,33.13026
1785701700000,63462.0,63496.0,63404.69,63409.27,31.38492
1785702600000,63409.27,63454.12,63409.26,63431.14,25.44292
